{https://youtu.be/LDfBGgaNmk4},{K-POP CHANGED MY LIFE},{349.0}
{https://youtu.be/DxUGIU_yCs4},{ONE DIRECTION VINE COMPILATION},{197.0}
{https://youtu.be/KjDjZQSIkV0},{"Tattoo Ideas with Kurtis" VINE COMPILATION},{124.0}
{https://youtu.be/nsftWRp9BfI},{FURRIES},{359.0}
{https://youtu.be/e9x4w6X3Cnw},{THE BOUNCER},{81.0}
{https://youtu.be/gBdq4ZQcRig},{i have a confession...},{404.0}
{https://youtu.be/wwYeK5j4XVk},{THEY SENT MOUSTACHE HAIR TO MY PO BOX!!!!!},{484.0}
{https://youtu.be/ODfSAb0yfy8},{"HOT JOKES COLD DOGS" IMPROVISED JOKES: CHRISTMAS EDITION PART 2},{365.0}
{https://youtu.be/SMOF2QpE0H4},{KURTIS CONNER TOP VINE COMPILATION},{589.0}
{https://youtu.be/C1PIAVehuvU},{CHAD KROEGER SENT ME A SNAPCHAT?!},{317.0}
{https://youtu.be/7jq9NX-6TD8},{INSTAGRAM Q&A},{341.0}
{https://youtu.be/6WNx4JUrYoM},{SPOOKY JOKES! SCARY DOGS!},{311.0}
{https://youtu.be/Yc0i6t42VqI},{MY TATTOOS  / "TAT2" \},{489.0}
{https://youtu.be/ekBmFaTeP0c},{a conversation with god.},{194.0}
{https://youtu.be/VSIfxUonbZk},{I REACT TO MY OLD VINES},{427.0}
{https://youtu.be/zeTrH1mZkAA},{#ASKNASH},{348.0}
{https://youtu.be/qU9CSh20dAI},{HOT JOKES COLD DOGS 4: BACK2SCHOOL},{399.0}
{https://youtu.be/uVpI17F1A7g},{HOT JOKES COLD DOGS 3 W/ JACOB SHARPE - SPRING FLING EDITION},{388.0}
{https://youtu.be/LBYEPpvnz9Y},{FEDORABLE: EPISODE 1 BLOOPERS},{171.0}
{https://youtu.be/dhjruaUgruw},{Fedorable: Episode 1},{438.0}
{https://youtu.be/p8qzZ9Mpgj8},{HOT JOKES COLD DOGS: CHRISTMAS EDITION},{410.0}
{https://youtu.be/wgJRxdNkNX4},{HOT JOKES & COLD DOGS (FT. JACOB SHARPE)},{394.0}
